transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,25-04-2023,Expense,Educaton,3888,card,Ahmedabad,Movie tickets
T12828,U133,08-05-2022,Expense,rent,649,,Hyderabad,asdfgh
T7403,U091,31-12-2023,Income,Freelance,13239,Csh,BAN,Books
T12350,U097,,Expense,Fod,6299,Bank Transfer,AHMEDABAD,Electricity bill
T7495,U088,10/28/2022,Expense,entertainment,2287,CARD,Hyderabad,N/A
T12465,U042,04-11-2024,Expense,Foods,4168,,N/A,test
T4518,U026,08/16/2022,Expense,education,Rs.828,Crd,Lucknow,Uber ride
T9824,U061,12-12-2024,Income,Salary,62061,CRD,AHM,...
T0741,U053,13-03-2024,Expense,Utilties,₹5070,upi,KOL,Grocery shopping
T12403,U004,11-10-2023,Income,Others,59543,UPI,LUC,Gym membership
T5282,U016,15-04-2022,Expense,Utilties,999999999,Crd,DEL,
T6861,U112,18-04-2021,Expense,Utility,$4262,upi,AHM,Uber ride
T9446,U006,06/29/2022,Expense,Utlities,5767,Bank Transfer,BANGALORE,
T3016,U099,02/24/2022,Expense,Rentt,23760,CRD,BANGALORE,Electricity bill
T11564,U148,08/28/2023,Expense,Food,898,UPI,LUC,Restaurant dinner
T11382,U111,02-06-2023,Income,Freelance,25143,card,CHENNAI,
T3133,U024,17-07-2024,Expense,rent,9567,bank transfer,PUNE,ATM withdrawal
T1982,U089,27-02-2021,Income,Others,49683,,lucknow,xyz123
T7154,U039,21-09-2024,Expense,FOOD,222,UPI,Bangalore,misc
T2699,U092,25-02-2023,Expense,Travel,₹2553,UPi,LUC,Doctor consultation
T5774,U005,14-02-2021,Expense,food,7406,card,BANGALORE,xyz123
T12850,U076,06-09-2021,Expense,rent,3010,UPI,KOL,N/A
T5770,U107,,Expense,health,4846,Csh,CHE,Books
T6195,U038,20-11-2024,Income,Salary,855881,BankTransfer,Jaipur,
T12096,U075,,Expense,Food,4452,card,BAN,
T5731,U027,04-02-2023,Expense,Foods,2206,Bank_Transfer,N/A,xyz123
T0909,U013,20-04-2024,Expense,Entertainment,7038,card,JAI,Gym membership
T7565,U075,24-01-2022,Expense,Travl,4286,BankTransfer,hyderabad,N/A
T1653,U099,16-12-2024,Expense,education,8119,CARD,Hyderabad,Books
T6239,U150,28-12-2021,Expense,education,₹4189,Card,Bangalore,Uber ride
T2849,U150,10-10-2022,Income,Investment,19947,Bank Transfr,LUCKNOW,Coffee
T3127,U023,22-05-2021,Expense,FOOD,5107 INR,upi,N/A,Shopping
T4949,U101,03-01-2023,Expense,Foodd,3865,BankTransfer,JAI,
T3563,U007,05-05-2021,Expense,Travel,2407,CRD,CHE,Internet bill
T10891,U055,09-08-2024,Expense,Food,3085,CARD,JAIPUR,Electricity bill
T10872,U080,22-02-2023,Expense,HEALTH,5252,,Delhi,Online course
T6786,U017,12/15/2022,Expense,rent,1380 INR,Bank Transfr,hyderabad,Train ticket
T3396,U136,22-09-2021,Expense,RENT,$7619,csh,pune,Movie tickets
T1215,U150,29-12-2023,Expense,Others,4823,Cash,Ahmedabad,...
T5293,U044,23-02-2021,Expense,Helth,8497,,KOLKATA,Gym membership
T12220,U122,11/14/2023,Expense,Foods,999999,UPi,LUC,
T2003,U149,04/15/2021,Expense,Travel,8241,upi,,Movie tickets
T9452,U062,24-09-2023,Expense,rent,8579,bank transfer,AHMEDABAD,...
T4924,U082,05/25/2022,Expense,Foods,235,card,CHENNAI,ATM withdrawal
T11911,U069,22-06-2023,Expense,Foodd,1263,upi,lucknow,
T11270,U022,09-08-2023,Expense,HEALTH,2134,Bank Transfr,JAI,Books
T13032,U150,06/19/2021,Expense,Education,2228,Cash,DELHI,Movie tickets
T6095,U110,11-01-2024,Expense,RENT,4641 INR,BankTransfer,delhi,ATM withdrawal
T0361,U055,16-08-2023,Expense,utilities,1081,CRD,PUNE,
T7314,U103,26-02-2022,Expense,entertainment,371,Csh,MUM,Uber ride
T11430,U108,07-10-2021,Expense,Food,225,Crd,Pune,!!!
T12663,U052,04/15/2023,Expense,Rent,23776,Upi,Bangalore,Doctor consultation
T6106,U008,23-04-2023,Expense,HEALTH,6707,card,DELHI,
T9628,U096,22-03-2024,Expense,Fod,$8380,Bank Transfer,hyderabad,
T1623,U017,04-10-2021,Expense,Utlities,601,bank transfer,JAIPUR,Medicine
T13765,U034,09-05-2024,Expense,Others,3219,csh,hyderabad,Internet bill
T10347,U017,,Expense,Rnt,8182,csh,,test
T5930,U011,04/21/2024,Expense,savings,8111,,DEL,Grocery shopping
T1627,U069,04/18/2022,Expense,Utilties,Rs.5554,Bank Transfer,HYDERABAD,EMI payment
T4242,U053,15-08-2024,Income,Salary,₹41573,Bank Transfr,mumbai,Coffee
T12437,U004,12-01-2024,Expense,EDU,3110,BankTransfer,chennai,Doctor consultation
T8670,U030,25-07-2024,Expense,Foodd,4277,Crd,PUNE,Train ticket
T11341,U127,17-01-2024,Expense,Foods,3047,CRD,Mumbai,Grocery shopping
T9556,U008,27-06-2024,Income,Freelance,10183,,DELHI,
T2449,U028,04/16/2022,Expense,Travel,9888,bank transfer,DEL,Shopping
T4357,U088,07-03-2024,Expense,Rentt,7217,cash,DELHI,Internet bill
T0815,U141,05-10-2021,Expense,Education,9725,Bank Transfr,CHE,Restaurant dinner
T7919,U086,27-05-2023,Expense,entertainment,9648,Bank Transfr,kolkata,!!!
T5695,U061,22-10-2023,Expense,Traval,1643,CARD,Mumbai,Petrol
T2471,U066,12/23/2021,Expense,Education,7397 INR,Csh,DEL,test
T3475,U046,10-12-2022,Income,Freelance,70075,Upi,Kolkata,Gym membership
T5875,U081,31-10-2021,Expense,Foods,Rs.864,Bank Transfr,Mumbai,Shopping
T10128,U104,06-09-2024,Expense,,6228,Cash,hyderabad,
T3491,U061,04-10-2024,Expense,Educaton,1206,cash,Ahmedabad,Shopping
